Student_Name,Hours_Studied,Attendance,Parental_Involvement,Parental_Education_Level,Access_to_Resources,Extracurricular_Activities,Sleep_Hours,Previous_Scores,Motivation_Level,Internet_Access,Tutoring_Sessions,Family_Income,Teacher_Quality,School_Type,Peer_Influence,Physical_Activity,Learning_Disabilities,Distance_from_Home,Gender,Exam_Score
Farhana Ali,27,85.7,Medium,High School,Medium,Yes,5,85.4,High,No,0,Low,Medium,Private,Neutral,7,No,Far,Female,99.4
Rakib Hossain,24,73.5,High,College,Low,Yes,5,49.0,High,Yes,2,Medium,Low,Private,Positive,7,No,Moderate,Female,70.7
Sajib Ali,24,79.6,High,Postgraduate,Medium,Yes,8,71.0,Medium,Yes,2,Low,High,Private,Positive,1,No,Near,Male,94.1
Nusrat Khan,16,85.1,Low,Postgraduate,Medium,No,9,74.2,Low,No,3,Medium,Low,Private,Negative,4,Yes,Near,Male,86.7
Lamia Akter,25,78.3,Low,High School,Low,Yes,7,78.5,Low,No,4,High,High,Private,Positive,4,No,Near,Female,92.0
Tanvir Akter,35,94.8,Low,College,Medium,No,7,48.9,High,No,1,High,High,Public,Negative,4,No,Far,Female,99.5
Anika Jahan,29,91.5,Medium,College,Low,No,9,82.7,Low,No,0,Low,Medium,Private,Positive,7,Yes,Moderate,Male,96.0
Tanzim Alam,14,81.9,High,Postgraduate,Medium,Yes,5,44.7,Medium,No,3,High,Low,Private,Negative,3,No,Far,Male,76.3
Rakib Shaikh,13,78.1,High,College,High,No,9,79.8,Low,Yes,2,Low,Low,Private,Neutral,5,No,Far,Female,78.8
Tanvir Ali,16,84.4,Low,College,Medium,No,9,81.8,Medium,Yes,0,Low,High,Private,Negative,3,No,Far,Female,86.5
Arafat Bhuiyan,8,65.1,Medium,High School,Medium,No,8,63.9,High,No,2,High,Low,Private,Neutral,1,No,Near,Male,63.0
Nahid Alam,3,100.0,High,College,High,No,5,69.8,Low,No,1,High,High,Public,Positive,1,Yes,Near,Male,76.5
Anika Khan,22,72.1,Low,High School,Low,No,8,81.3,High,No,4,High,Low,Private,Neutral,5,No,Moderate,Male,93.8
Sumaiya Ahmed,8,71.9,Low,Postgraduate,Medium,No,5,69.2,Low,Yes,4,High,Medium,Private,Negative,4,No,Far,Female,70.8
Tanvir Jahan,21,82.2,Low,College,Low,No,9,75.4,High,Yes,4,Low,Low,Public,Negative,2,No,Near,Male,85.5
Farhana Rahman,38,86.9,Low,Postgraduate,Low,No,7,68.0,Medium,Yes,2,Low,Low,Public,Positive,7,No,Near,Male,100.0
Farhana Hasan,26,84.2,Medium,High School,Low,No,7,100.0,Medium,Yes,0,High,Low,Public,Positive,5,No,Moderate,Female,90.0
Lamia Hossain,18,65.7,Medium,Postgraduate,Low,Yes,8,88.5,High,Yes,0,Medium,Low,Private,Neutral,6,Yes,Moderate,Male,68.8
Rakib Hossain,22,100.0,Low,College,High,No,5,87.3,Low,No,2,High,Low,Public,Neutral,7,No,Moderate,Female,100.0
Nusrat Ali,25,99.7,High,Postgraduate,High,Yes,5,83.8,High,No,3,Medium,Low,Private,Neutral,3,Yes,Moderate,Female,100.0
Sumaiya Rahman,29,76.4,High,College,Medium,Yes,6,50.0,Low,Yes,4,Low,High,Private,Negative,5,Yes,Near,Female,95.6
Tanzim Hasan,22,85.3,High,Postgraduate,Medium,No,9,39.7,High,Yes,0,Medium,Low,Private,Neutral,5,No,Moderate,Male,71.6
Mahmud Islam,20,82.6,High,College,Low,No,5,67.7,Low,Yes,1,Medium,Medium,Private,Negative,2,No,Far,Female,79.0
Tanvir Mia,9,88.4,Medium,College,Medium,No,8,88.8,Low,Yes,1,Low,Low,Public,Positive,4,No,Near,Male,84.3
Rakib Rahman,22,73.0,Low,College,Medium,Yes,7,95.7,High,Yes,1,High,Medium,Public,Negative,4,No,Far,Male,92.2
Sumaiya Khan,21,95.8,High,College,Medium,No,5,88.4,Medium,Yes,1,Medium,Low,Public,Neutral,2,Yes,Far,Female,94.8
Rafi Hasan,25,98.4,Low,High School,Low,No,6,60.5,Medium,No,0,Low,Low,Public,Neutral,2,No,Moderate,Female,86.8
Rafi Siddique,6,99.3,High,High School,High,No,7,86.4,High,Yes,1,Medium,High,Private,Negative,5,No,Moderate,Male,87.8
Sumaiya Hasan,32,82.9,Medium,Postgraduate,High,Yes,5,96.8,Medium,No,3,Low,Medium,Public,Neutral,4,Yes,Far,Female,100.0
Nusrat Jahan,19,91.6,Medium,Postgraduate,Medium,No,9,70.1,High,Yes,4,Medium,Low,Private,Neutral,5,No,Near,Male,85.6
Mahmud Alam,3,80.9,Medium,College,High,Yes,5,55.7,High,No,0,Low,Low,Public,Negative,2,No,Far,Male,64.8
Fahim Khan,11,87.9,High,Postgraduate,Medium,No,7,84.5,High,Yes,1,Medium,High,Private,Positive,7,No,Moderate,Female,83.5
Tanvir Hasan,12,88.0,Low,College,High,Yes,9,66.6,Low,Yes,0,Medium,Medium,Private,Neutral,5,No,Near,Male,72.5
Laboni Chowdhury,8,79.7,Medium,Postgraduate,High,Yes,5,74.8,High,No,2,High,Low,Private,Positive,4,Yes,Far,Male,68.3
Nusrat Bhuiyan,14,84.6,Medium,Postgraduate,Low,Yes,7,72.4,High,No,3,Medium,High,Public,Negative,4,No,Moderate,Female,81.1
Sumaiya Bhuiyan,14,89.0,Medium,Postgraduate,High,No,9,66.3,Low,Yes,1,High,High,Private,Negative,7,Yes,Moderate,Female,78.1
Sadia Rahman,7,98.4,Low,Postgraduate,High,No,7,97.0,Low,Yes,0,High,Medium,Private,Positive,7,No,Moderate,Female,84.0
Sadia Akter,26,70.1,High,Postgraduate,High,No,7,74.4,High,Yes,1,Medium,Low,Private,Positive,7,No,Near,Male,95.4
Fahim Jahan,18,70.5,Low,High School,Low,Yes,6,51.5,Low,No,0,High,Medium,Public,Positive,2,No,Far,Female,62.8
Mehedi Ali,18,81.4,High,Postgraduate,Low,No,6,59.1,High,Yes,1,Medium,Medium,Public,Neutral,5,No,Far,Female,71.2
Farhana Ahmed,33,92.6,Medium,High School,Medium,No,9,73.9,High,No,0,High,High,Private,Neutral,2,Yes,Near,Male,100.0
Tanvir Shaikh,38,94.2,High,College,Medium,Yes,8,67.8,High,Yes,0,Medium,Low,Public,Neutral,1,Yes,Far,Male,100.0
Farhana Ali,12,65.4,Medium,College,Low,No,5,87.0,Medium,Yes,1,Medium,Low,Private,Positive,3,No,Moderate,Male,75.2
Nusrat Ali,20,83.5,High,Postgraduate,Medium,No,5,68.9,Low,Yes,0,High,Low,Public,Neutral,1,Yes,Moderate,Male,78.6
Tanvir Jahan,14,76.2,Low,Postgraduate,High,No,8,65.7,High,Yes,0,Medium,High,Private,Negative,6,No,Near,Male,75.4
Nahid Khan,2,90.2,Low,High School,Medium,Yes,6,79.5,High,Yes,3,Medium,High,Public,Positive,5,Yes,Near,Female,77.2
Sumaiya Islam,15,91.1,High,Postgraduate,Low,Yes,7,81.0,High,No,4,Medium,Medium,Public,Positive,3,No,Far,Female,83.6
Sabuj Rahman,36,100.0,Low,College,Low,No,6,87.1,High,Yes,0,Low,High,Public,Positive,7,No,Far,Female,100.0
Rakib Mia,13,60.3,Medium,Postgraduate,Low,No,7,51.2,Low,Yes,0,Low,Low,Private,Negative,5,No,Near,Female,52.5
Rafi Ali,7,91.6,High,College,Medium,No,7,58.1,Low,Yes,1,High,High,Public,Neutral,4,No,Moderate,Male,70.5
Rafi Mia,14,82.6,Medium,College,Medium,No,9,62.0,Low,Yes,0,High,Medium,Private,Neutral,7,Yes,Near,Female,68.6
Mehedi Siddique,15,91.1,Medium,College,Low,No,5,89.5,Low,No,1,Low,Medium,Private,Neutral,6,Yes,Moderate,Female,85.2
Tasnim Hasan,2,72.4,Medium,College,High,Yes,5,82.1,Low,Yes,3,Low,Low,Private,Neutral,2,Yes,Near,Male,68.5
Tasnim Rahman,21,83.1,Medium,Postgraduate,Low,No,8,80.8,High,No,3,Low,Low,Private,Neutral,3,No,Far,Female,95.3
Tanvir Jahan,22,77.1,Low,High School,High,Yes,8,67.2,Low,No,0,Medium,Medium,Private,Positive,2,Yes,Near,Female,80.8
Nusrat Islam,24,94.4,Low,College,Low,No,7,43.1,High,No,3,High,Medium,Public,Positive,7,No,Far,Female,85.1
Mehedi Mia,29,77.1,High,Postgraduate,High,Yes,9,45.5,Low,Yes,1,Low,Medium,Public,Negative,5,Yes,Near,Female,80.4
Tasnim Khan,28,71.9,High,High School,High,No,5,51.9,Low,No,3,Medium,Low,Private,Neutral,4,No,Near,Female,87.2
Rakib Akter,26,55.5,High,College,Low,No,6,77.3,High,Yes,0,Low,High,Public,Negative,3,No,Moderate,Male,82.9
Farhana Rahman,21,88.8,High,College,Low,No,6,61.8,Medium,Yes,2,High,Low,Private,Negative,6,No,Far,Male,78.2
Nahid Mia,25,100.0,High,College,High,No,8,76.5,Low,Yes,0,High,Low,Public,Negative,6,Yes,Far,Male,99.3
Arif Ahmed,11,72.2,High,College,Medium,No,8,95.1,Low,Yes,3,High,High,Private,Neutral,4,No,Near,Female,84.3
Rakib Jahan,28,75.9,Medium,Postgraduate,Low,No,7,70.2,Medium,No,2,Low,High,Private,Positive,2,No,Far,Male,84.4
Rakib Hossain,16,75.4,Medium,College,Low,No,6,87.5,Low,No,2,Low,Low,Public,Neutral,7,No,Moderate,Female,81.9
Mehedi Khan,23,100.0,High,College,Medium,No,5,63.2,Medium,No,0,Low,Medium,Public,Negative,1,No,Far,Female,82.4
Anika Khan,21,92.0,High,Postgraduate,High,No,5,61.5,Medium,Yes,4,Medium,Medium,Public,Negative,4,No,Moderate,Female,83.3
Tanzim Hasan,22,68.5,High,High School,Medium,No,8,100.0,High,No,0,High,Medium,Public,Neutral,3,No,Near,Male,90.1
Sajib Siddique,34,89.1,Medium,High School,Low,Yes,8,77.0,High,Yes,0,Low,High,Private,Positive,5,No,Far,Female,100.0
Rakib Islam,35,98.1,High,Postgraduate,Low,No,9,96.3,Medium,No,4,High,High,Private,Negative,3,No,Far,Female,100.0
Fahim Ali,19,91.4,Low,College,Medium,No,5,100.0,High,Yes,1,High,Low,Private,Positive,5,Yes,Moderate,Male,99.4
Fahim Islam,18,76.9,High,Postgraduate,High,Yes,8,59.8,High,Yes,1,High,Medium,Public,Positive,3,No,Near,Male,73.7
Sumaiya Islam,18,89.5,Medium,Postgraduate,Low,Yes,8,91.8,Medium,Yes,1,High,High,Private,Positive,5,No,Far,Female,85.3
Rafi Rahman,17,64.0,Low,College,High,No,6,70.6,Medium,No,1,Low,High,Private,Positive,3,No,Moderate,Female,76.7
Anika Mia,26,80.1,Low,Postgraduate,High,No,6,89.1,Medium,No,2,Low,Medium,Private,Neutral,3,Yes,Moderate,Female,92.0
Tanzim Ahmed,17,68.7,High,High School,Medium,No,6,100.0,Medium,Yes,0,Low,High,Private,Positive,1,No,Far,Female,84.4
Nahid Mia,13,90.1,High,High School,Low,Yes,5,72.4,Low,Yes,0,Low,High,Public,Positive,6,Yes,Moderate,Female,75.3
Sadia Shaikh,19,75.5,High,High School,Medium,Yes,5,64.0,High,No,2,Medium,Medium,Private,Positive,6,No,Far,Male,80.5
Lamia Jahan,31,50.1,High,Postgraduate,High,Yes,5,44.9,Low,No,1,Medium,Low,Private,Negative,1,No,Far,Female,70.7
Anika Hasan,17,77.5,High,High School,Medium,No,8,54.3,Medium,No,2,Low,Medium,Private,Negative,6,No,Moderate,Male,69.2
Tanvir Mia,17,81.2,Low,High School,High,No,5,80.8,Medium,No,2,High,Medium,Public,Negative,2,No,Near,Female,84.0
Sadia Khan,25,68.5,Medium,High School,Low,No,6,66.7,Medium,No,2,Medium,Medium,Public,Neutral,1,No,Moderate,Female,79.8
Nusrat Khan,17,79.2,Medium,High School,Medium,Yes,8,85.4,High,No,3,Medium,High,Private,Positive,2,No,Near,Male,87.9
Rakib Mia,17,95.9,High,College,Medium,Yes,9,58.9,High,Yes,0,High,High,Private,Positive,6,No,Far,Female,86.1
Tasnim Hossain,6,100.0,High,High School,Low,Yes,9,56.6,High,Yes,1,Medium,High,Public,Positive,4,Yes,Near,Male,66.9
Arafat Alam,7,89.3,High,College,Low,Yes,8,56.1,Medium,No,1,High,Low,Private,Neutral,3,No,Far,Male,67.9
Sabuj Mia,5,75.5,Low,Postgraduate,Low,Yes,8,87.6,Low,Yes,2,Low,Medium,Private,Positive,2,Yes,Near,Female,65.8
Sadia Bhuiyan,17,81.3,High,Postgraduate,High,No,5,78.3,Medium,No,2,Low,Medium,Private,Neutral,2,No,Far,Female,79.4
Arif Chowdhury,15,77.0,High,High School,High,No,8,56.0,Low,No,0,High,Low,Public,Neutral,3,Yes,Near,Male,71.3
Sadia Ahmed,21,70.3,Low,Postgraduate,Low,Yes,8,79.7,Low,Yes,2,Low,High,Private,Positive,5,No,Near,Male,74.9
Tanzim Jahan,16,88.3,High,High School,Medium,Yes,6,96.7,Medium,No,2,Low,Low,Public,Negative,3,No,Far,Female,96.6
Sadia Akter,5,66.6,High,High School,Medium,Yes,8,65.3,Medium,No,0,High,Medium,Public,Positive,7,Yes,Near,Female,55.1
Laboni Rahman,17,84.4,High,College,Medium,No,8,53.9,Low,Yes,1,Low,Medium,Private,Negative,1,No,Far,Male,75.4
Arif Chowdhury,12,65.8,Medium,Postgraduate,High,Yes,5,60.3,Low,No,1,High,Medium,Public,Neutral,5,No,Moderate,Female,70.6
Mahmud Shaikh,36,78.3,Medium,College,High,Yes,5,75.3,High,Yes,0,Medium,High,Public,Negative,2,No,Moderate,Female,100.0
Mahmud Mia,15,83.5,Low,Postgraduate,Medium,Yes,7,100.0,Low,No,1,Medium,High,Public,Neutral,3,Yes,Moderate,Female,89.3
Tasnim Siddique,17,84.9,Medium,College,Low,No,6,76.5,High,No,1,Medium,Medium,Private,Negative,1,No,Far,Male,78.9
Tanvir Siddique,14,100.0,High,Postgraduate,High,No,7,83.9,Medium,Yes,2,Medium,Medium,Public,Negative,7,No,Moderate,Female,90.1
Fahim Mia,11,93.2,High,Postgraduate,Medium,Yes,5,49.3,Medium,No,0,Low,Low,Private,Negative,7,No,Far,Male,71.2
Tanzim Bhuiyan,19,89.4,Low,College,Low,Yes,9,76.5,High,Yes,3,Low,Low,Public,Positive,6,Yes,Moderate,Male,82.5
Nahid Alam,26,89.4,Medium,Postgraduate,Medium,Yes,6,92.0,Low,No,3,High,Low,Private,Negative,1,No,Near,Female,100.0
Nusrat Siddique,19,62.1,Low,High School,Low,No,9,80.0,High,No,0,Low,High,Private,Neutral,2,No,Moderate,Female,76.6
Farhana Ahmed,26,83.6,High,High School,High,No,6,80.3,High,No,4,High,Low,Public,Neutral,1,Yes,Near,Male,100.0
Fahim Ali,19,90.2,Medium,Postgraduate,Medium,Yes,9,74.4,High,No,1,Medium,Low,Public,Negative,5,No,Near,Female,87.9
Tanzim Islam,8,88.0,Medium,High School,Low,No,9,59.4,High,Yes,2,High,Low,Private,Negative,3,No,Far,Female,72.5
Rafi Bhuiyan,18,76.7,High,High School,High,Yes,7,94.3,High,No,1,Low,Low,Private,Negative,1,No,Moderate,Female,93.1
Tanvir Bhuiyan,26,85.4,Medium,College,Low,Yes,5,55.1,Medium,No,0,Low,High,Private,Neutral,3,No,Near,Male,83.4
Sadia Chowdhury,20,94.8,High,Postgraduate,Low,Yes,7,66.8,High,Yes,1,Low,Medium,Private,Neutral,1,No,Moderate,Female,89.7
Sadia Hossain,27,85.8,Low,College,Medium,Yes,8,50.5,High,Yes,2,Medium,High,Private,Negative,1,No,Far,Female,84.3
Anika Chowdhury,16,78.6,Medium,High School,High,No,8,55.2,High,Yes,0,Low,Low,Public,Positive,2,No,Moderate,Female,71.7
Arafat Islam,4,67.5,Medium,College,Medium,No,8,59.0,Medium,Yes,4,High,Medium,Public,Neutral,1,Yes,Far,Male,62.0
Sadia Ahmed,27,79.4,Low,College,Medium,No,9,73.3,High,No,2,High,Medium,Private,Neutral,6,No,Moderate,Female,96.4
Mahmud Khan,29,100.0,Medium,High School,Medium,Yes,5,52.0,Medium,No,0,Medium,Medium,Private,Positive,5,No,Moderate,Female,90.4
Mahmud Hasan,15,75.3,High,High School,High,Yes,6,65.1,High,No,0,Medium,Low,Private,Positive,6,No,Moderate,Female,81.2
Anika Jahan,17,67.9,Medium,Postgraduate,Low,No,9,85.1,High,No,0,High,Medium,Private,Negative,1,Yes,Far,Female,78.8
Tasnim Mia,15,89.6,High,Postgraduate,High,No,7,76.8,Low,Yes,1,High,Low,Public,Positive,7,No,Far,Female,79.0
Sumaiya Hossain,13,84.0,Low,High School,Medium,No,8,68.9,Low,No,0,Medium,High,Public,Neutral,1,No,Moderate,Male,77.4
Anika Chowdhury,22,86.0,Low,High School,High,No,5,83.2,Low,Yes,0,High,Medium,Private,Neutral,4,Yes,Moderate,Female,99.8
Rakib Rahman,6,66.9,Low,College,Low,Yes,9,86.4,High,Yes,1,High,Low,Public,Neutral,2,No,Far,Male,60.6
Sajib Siddique,15,84.7,Medium,College,Low,No,8,73.8,Medium,No,1,Low,High,Public,Negative,1,No,Moderate,Female,81.8
Mahmud Jahan,29,86.1,Medium,Postgraduate,Low,No,9,92.5,High,Yes,1,Medium,Low,Public,Neutral,6,No,Moderate,Female,95.0
Sajib Hasan,24,77.7,Medium,Postgraduate,Medium,No,6,82.3,High,Yes,3,High,Low,Private,Neutral,3,No,Far,Male,99.1
Nusrat Jahan,23,90.6,Medium,High School,Low,No,8,81.0,Medium,No,2,High,High,Public,Positive,2,No,Far,Female,95.9
Fahim Akter,31,89.8,High,Postgraduate,High,No,7,71.7,Low,Yes,1,Low,High,Public,Neutral,1,No,Moderate,Male,100.0
Fahim Islam,14,87.9,Low,College,High,No,5,79.9,High,No,1,High,High,Private,Neutral,5,Yes,Moderate,Male,91.9
Sabuj Bhuiyan,21,82.6,Low,College,Low,No,7,55.0,Medium,No,2,High,Low,Private,Negative,7,No,Far,Male,78.0
Arif Ali,31,84.6,Medium,Postgraduate,Low,Yes,7,77.7,High,Yes,1,Medium,Medium,Public,Neutral,7,No,Moderate,Female,94.3
Arafat Khan,19,85.3,Low,High School,Low,No,5,82.5,High,Yes,0,High,High,Private,Positive,5,No,Near,Male,86.6
Tasnim Siddique,21,86.9,Medium,Postgraduate,High,No,6,71.4,Low,Yes,2,Low,Medium,Private,Neutral,6,Yes,Near,Female,88.8
Sadia Jahan,21,73.6,Low,Postgraduate,Medium,Yes,5,90.7,Low,No,0,High,High,Private,Neutral,6,Yes,Moderate,Female,81.2
Arafat Chowdhury,22,75.7,High,Postgraduate,Medium,No,7,72.2,High,Yes,2,High,Medium,Private,Neutral,7,No,Far,Female,78.2
Arafat Bhuiyan,15,100.0,High,College,Low,No,7,53.7,Medium,No,0,Medium,Low,Private,Neutral,6,No,Far,Female,62.5
